location,mood,latitude,longitude
United Kingdom,Positive,51.5073219,-0.1276474
The Netherlands,Positive,52.24253135,5.216244030438074
Haiti,Positive,19.37218875,-72.33465445105234
Uganda,Positive,0.3177137,32.5813539
,Positive,,
,Positive,,
,Positive,,
,Positive,,
,Positive,,
,Positive,,
Japan,Positive,34.5808516,135.8300793
,Negative,,
,Positive,,
,Negative,,
Israel,Positive,31.5313113,34.8667654
,Positive,,
France,Positive,48.16282835,-2.684147344521837
,Positive,,
,Positive,,
,Negative,,
Israel,Negative,31.5313113,34.8667654
,Negative,,
United States of America,Positive,40.7644228,-73.9923918
Indonesia,Positive,-6.1751542,106.83308016604896
Israel,Positive,31.5313113,34.8667654
,Negative,,
,Positive,,
,Positive,,
,Positive,,
,Positive,,
Israel,Positive,31.5313113,34.8667654
,Positive,,
,Positive,,
Japan,Positive,35.6828387,139.7594549
,Positive,,
Indonesia,Positive,-7.54104285,112.50966915498464
,Positive,,
,Positive,,
Spain,Positive,40.4167047,-3.7035825
,Positive,,
China,Negative,31.197736,121.33456573603857
India,Positive,22.3511148,78.6677428
Indonesia,Positive,-6.1753942,106.827183
Saudi Arabia,Positive,24.8077213,46.7820555
,Positive,,
,Positive,,
India,Negative,19.0308262,73.0198537
United Kingdom,Positive,51.5073219,-0.1276474
,Positive,,
,Positive,,
,Positive,,
Japan,Positive,35.8616402,139.6457957
,Negative,,
,Positive,,
,Negative,,
,Negative,,
Japan,Positive,35.718123,139.664468
,Positive,,
The Netherlands,Positive,51.55847,5.083076
Slovenia,Positive,45.8680612,13.585026
India,Positive,19.0308262,73.0198537
Indonesia,Positive,-8.2094973,114.3737201
India,Positive,19.0308262,73.0198537
France,Negative,45.8992348,6.1288847
,Negative,,
Turkey,Negative,41.0096334,28.9651646
Canada,Positive,49.2846962,-123.097014
Australia,Positive,-37.8142176,144.9631608
,Positive,,
Philippines,Negative,14.5121499,121.02204702064273
,Positive,,
,Positive,,
,Negative,,
United States of America,Positive,45.5202471,-122.6741949
South Korea,Positive,37.5666791,126.9782914
Japan,Negative,35.444991,139.636768
,Positive,,
,Negative,,
Portugal,Negative,40.0332629,-7.8896263
,Negative,,
Indonesia,Positive,-8.2094973,114.3737201
,Negative,,
,Positive,,
,Positive,,
,Positive,,
,Negative,,
Canada,Positive,45.4972159,-73.6103642
Singapore,Positive,1.357107,103.8194992
Kenya,Positive,1.4419683,38.4313975
Romania,Positive,46.9599823,22.0541733
,Positive,,
Indonesia,Positive,-2.4833826,117.8902853
,Positive,,
Indonesia,Positive,-7.3251774,109.9056063
,Positive,,
Japan,Positive,35.6828387,139.7594549
Indonesia,Positive,-2.4833826,117.8902853
United Kingdom,Positive,52.4808348,-1.9142353
Japan,Positive,38.2691248,140.8705271
Ireland,Negative,52.865196,-7.9794599
United Kingdom,Positive,51.5073219,-0.1276474
Japan,Positive,35.6828387,139.7594549
Italy,Positive,43.4046765,13.5475481
Indonesia,Positive,-6.9344694,107.6049539
,Positive,,
,Negative,,
Japan,Positive,35.6777691,139.7646365
,Negative,,
,Positive,,
Italy,Positive,43.8672392,10.2506055
United States of America,Positive,44.4308975,-89.6884637
Russia,Positive,59.9817086,30.214684170727914
Japan,Positive,26.5707754,128.0255901
,Positive,,
France,Positive,48.8566969,2.3514616
,Positive,,
,Negative,,
India,Positive,19.0308262,73.0198537
India,Negative,19.0308262,73.0198537
India,Positive,18.9387711,72.8353355
India,Positive,19.0308262,73.0198537
,Negative,,
India,Positive,19.0308262,73.0198537
,Negative,,
Spain,Positive,39.3262345,-4.8380649
United States of America,Negative,35.1172406,-89.9132695
India,Positive,28.6141793,77.2022662
,Positive,,
India,Negative,28.6141793,77.2022662
,Positive,,
,Positive,,
,Positive,,
,Negative,,
,Positive,,
France,Positive,48.8629414,2.3792637
Canada,Positive,50.5758951,-105.3856943
,Positive,,
,Positive,,
India,Positive,28.6141793,77.2022662
France,Negative,45.8992348,6.1288847
,Negative,,
South Africa,Negative,-25.7459374,28.1879444
,Positive,,
Japan,Positive,37.9160769,139.0365006
,Positive,,
,Positive,,
,Negative,,
,Positive,,
Singapore,Positive,1.2952652,103.8297376
,Positive,,
Japan,Positive,36.5748441,139.2394179
United Kingdom,Negative,54.7023545,-3.2765753
,Positive,,
Norway,Positive,64.5731537,11.52803643954819
Belgium,Negative,50.6402809,4.6667145
Japan,Negative,35.8616402,139.6457957
Japan,Positive,37.6452283,138.7669125
,Negative,,
Cameroon,Negative,9.3372216,13.377202011034774
,Positive,,
United States of America,Positive,34.2331373,-102.4107493
,Negative,,
,Negative,,
Indonesia,Positive,-6.96949435,110.37280291794187
India,Negative,19.0308262,73.0198537
,Negative,,
,Negative,,
India,Positive,28.6141793,77.2022662
,Negative,,
,Positive,,
India,Positive,29.2151635,79.5266898
,Positive,,
India,Positive,28.6141793,77.2022662
India,Negative,17.38878595,78.46106473453146
,Positive,,
France,Positive,49.535,3.83264
India,Positive,28.6141793,77.2022662
,Positive,,
United States of America,Positive,40.7596198,-111.8867975
Norway,Positive,59.9133301,10.7389701
India,Negative,28.6141793,77.2022662
,Negative,,
,Positive,,
United Kingdom,Negative,54.7023545,-3.2765753
,Positive,,
,Positive,,
,Negative,,
,Negative,,
,Negative,,
,Positive,,
United States,Negative,39.7837304,-100.4458825
,Negative,,
,Negative,,
,Positive,,
,Negative,,
,Positive,,
United States of America,Positive,34.2331373,-102.4107493
Argentina,Negative,-34.9964963,-64.9672817
,Positive,,
,Positive,,
Estonia,Positive,57.73729345,26.98340218993079
Argentina,Positive,-34.9964963,-64.9672817
,Negative,,
South Africa,Positive,-25.7459374,28.1879444
,Positive,,
,Positive,,
,Positive,,
Belgium,Positive,50.6402809,4.6667145
,Positive,,
,Positive,,
India,Positive,20.84351185,75.52592658756026
Indonesia,Negative,-2.4833826,117.8902853
South Africa,Positive,-25.7459374,28.1879444
,Positive,,
,Positive,,
,Positive,,
United States of America,Negative,40.3270127,-86.1746933
,Positive,,
,Positive,,
United Arab Emirates,Positive,24.0002488,53.9994829
,Positive,,
Nepal,Positive,27.708317,85.3205817
India,Positive,19.0308262,73.0198537
Germany,Positive,51.0834196,10.4234469
,Positive,,
Japan,Positive,35.7152197,139.5562185
Japan,Positive,43.4603175,143.33071579283663
Ukraine,Positive,51.20935,33.9548018
United States of America,Positive,39.0992752,-76.8483061
,Positive,,
United Kingdom,Positive,51.5073219,-0.1276474
,Positive,,
Japan,Positive,35.6828387,139.7594549
,Positive,,
,Positive,,
South Africa,Negative,-29.861825,31.009909
,Negative,,
,Negative,,
,Positive,,
,Positive,,
India,Positive,19.0308262,73.0198537
Germany,Positive,49.124118,8.5980244
,Positive,,
Indonesia,Positive,-7.5692462,110.828448
Taiwan,Negative,24.5900785,120.9750434
Japan,Positive,35.6606929,139.1866588
Finland,Positive,60.1674098,24.9425769
,Positive,,
,Negative,,
India,Positive,19.0308262,73.0198537
,Positive,,
,Negative,,
South Africa,Positive,-25.7459374,28.1879444
,Positive,,
France,Positive,44.841225,-0.5800364
,Positive,,
India,Positive,19.0308262,73.0198537
India,Positive,12.9791198,77.5912997
India,Negative,19.0308262,73.0198537
United Kingdom,Positive,56.489451450000004,-2.9563531251245516
,Positive,,
India,Positive,19.0308262,73.0198537
France,Positive,50.5144061,2.258007849773996
India,Positive,28.6141793,77.2022662
Sri Lanka,Positive,7.5554942,80.7137847
,Positive,,
,Positive,,
United Kingdom,Negative,53.4841194,-2.2380371
South Africa,Positive,-25.7459374,28.1879444
,Positive,,
Netherlands,Positive,52.5001698,5.7480821
India,Negative,28.6141793,77.2022662
,Negative,,
Netherlands,Positive,52.5001698,5.7480821
,Positive,,
Spain,Positive,36.5387779,-4.6233348
New Zealand,Positive,-43.9763945,171.13577730008632
,Positive,,
Japan,Positive,36.5748441,139.2394179
,Positive,,
South Africa,Negative,-25.7459374,28.1879444
Kenya,Positive,-1.2832533,36.8172449
,Positive,,
,Positive,,
,Positive,,
,Positive,,
Indonesia,Negative,-8.2094973,114.3737201
United States of America,Negative,31.8160381,-99.5120986
France,Negative,44.5406387,2.4250801
,Positive,,
,Negative,,
Germany,Positive,52.5170365,13.3888599
United States of America,Negative,31.8160381,-99.5120986
Israel,Positive,32.0804808,34.7805274
,Positive,,
,Negative,,
Brazil,Positive,-22.9110137,-43.2093727
,Positive,,
,Negative,,
Switzerland,Positive,46.2017559,6.1466014
,Negative,,
Japan,Positive,32.7833323,130.7333361
Japan,Positive,35.609985,140.118126
India,Positive,20.2667774,85.8435592
Estonia,Positive,58.7523778,25.3319078
,Positive,,
Japan,Negative,35.5707461,139.6535306
,Negative,,
Japan,Positive,34.6677915,135.1641816
,Negative,,
United States,Negative,39.7837304,-100.4458825
,Positive,,
Japan,Positive,35.6828387,139.7594549
Spain,Positive,42.63414505,-5.971415104539984
,Positive,,
United States of America,Positive,38.1573565,-78.4222322
,Positive,,
Romania,Positive,46.769379,23.5899542
Indonesia,Negative,-7.2459717,112.7378266
France,Positive,48.8566969,2.3514616
,Positive,,
Belgium,Positive,50.6402809,4.6667145
Belgium,Positive,50.6402809,4.6667145
Belgium,Positive,50.6402809,4.6667145
France,Positive,45.7029575,3.8439694
Japan,Positive,35.6828387,139.7594549
The Netherlands,Positive,52.3727598,4.8936041
,Negative,,
,Positive,,
United States of America,Negative,42.6410472,-70.6165149
Japan,Positive,35.7008465,139.7421598
,Positive,,
,Positive,,
,Negative,,
Switzerland,Positive,47.4250593,9.3765878
,Positive,,
,Positive,,
,Positive,,
Germany,Negative,51.0834196,10.4234469
,Positive,,
France,Positive,48.8601087,2.3031375
,Negative,,
,Negative,,
,Positive,,
,Negative,,
,Positive,,
,Positive,,
,Positive,,
Greece,Positive,38.9953683,21.9877132
,Positive,,
France,Negative,48.5914619,6.5912872
Greece,Positive,35.5618774,24.0919486
South Africa,Positive,-33.9617051,25.6207519
Japan,Positive,35.6645956,139.6987107
,Negative,,
Switzerland,Positive,47.5581077,7.5878261
,Positive,,
Canada,Positive,55.5321257,-106.1412243
,Negative,,
,Positive,,
,Negative,,
Indonesia,Positive,-6.3843994,106.8457321
,Positive,,
,Negative,,
Sri Lanka,Positive,7.5554942,80.7137847
,Positive,,
Spain,Positive,40.4825986,-3.7011811
,Positive,,
,Positive,,
Spain,Positive,39.3262345,-4.8380649
India,Positive,22.3511148,78.6677428
,Positive,,
,Positive,,
,Negative,,
,Positive,,
,Negative,,
Angola,Positive,-11.8775768,17.5691241
,Positive,,
,Positive,,
Italy,Negative,45.4668,9.1905
Belgium,Positive,50.294651900000005,5.10375404117077
,Positive,,
,Negative,,
Iran,Positive,32.6475314,54.5643516
United States of America,Positive,30.2711286,-97.7436995
Indonesia,Negative,-7.5692462,110.828448
,Negative,,
,Negative,,
Indonesia,Positive,-7.6196965,111.06980026754411
India,Negative,27.5541146,78.60078640304634
Greece,Positive,35.5618774,24.0919486
Indonesia,Negative,-2.4833826,117.8902853
,Positive,,
Japan,Positive,43.4603175,143.33071579283663
Zimbabwe,Positive,-18.4554963,29.7468414
Japan,Positive,36.5748441,139.2394179
,Positive,,
The Netherlands,Negative,52.3727598,4.8936041
,Positive,,
,Positive,,
Indonesia,Positive,-6.1682483,106.76484297808989
,Positive,,
,Positive,,
,Positive,,
United Kingdom,Positive,51.5073219,-0.1276474
,Positive,,
,Positive,,
Romania,Negative,44.4361414,26.1027202
,Positive,,
,Positive,,
,Positive,,
,Positive,,
United States of America,Negative,44.5365467,-122.9068762
,Positive,,
,Negative,,
,Positive,,
,Positive,,
,Negative,,
,Negative,,
Indonesia,Positive,-6.5906502,110.6673202
United States of America,Positive,43.0059455,-123.8925908
,Negative,,
United States of America,Negative,43.0059455,-123.8925908
United States of America,Negative,43.0059455,-123.8925908
United States of America,Positive,36.7014631,-118.7559974
,Positive,,
,Negative,,
,Positive,,
Russia,Negative,56.839104,60.60825
,Positive,,
Germany,Positive,51.0834196,10.4234469
United States of America,Positive,32.7762719,-96.7968559
,Positive,,
,Positive,,
,Positive,,
,Positive,,
Canada,Negative,45.4972159,-73.6103642
Mexico,Positive,18.964659150000003,-99.56898209468059
United States of America,Positive,38.8339578,-104.8253485
Ireland,Positive,52.865196,-7.9794599
South Pole,Negative,-90.0,0.0
United States,Positive,39.7837304,-100.4458825
Libya,Positive,26.8234472,18.1236723
Russia,Positive,56.839104,60.60825
,Positive,,
United States of America,Positive,38.9392997,-76.9337983
,Positive,,
South Africa,Positive,-29.116395,26.215496
,Positive,,
,Positive,,
United States of America,Positive,39.1014537,-84.5124602
,Negative,,
,Positive,,
,Positive,,
,Positive,,
,Positive,,
,Positive,,
Philippines,Positive,14.3631741,121.0116215
,Negative,,
,Positive,,
,Positive,,
,Positive,,
,Positive,,
United States of America,Positive,42.4733689,-83.2218731
Brazil,Positive,-22.2325787,-53.324934
Nigeria,Negative,4.7676576,7.0188527
South Africa,Positive,-28.8166236,24.991639
Malaysia,Positive,4.7916539,100.9276057
,Positive,,
Argentina,Positive,-34.9964963,-64.9672817
,Positive,,
Japan,Positive,35.6828387,139.7594549
,Positive,,
,Positive,,
,Positive,,
Brazil,Positive,-10.1835604,-48.3337793
United States of America,Negative,40.783827349999996,-73.97536618405124
United States of America,Positive,37.7790262,-122.4199061
,Negative,,
France,Positive,50.6365654,3.0635282
Germany,Negative,51.2254018,6.7763137
Peru,Positive,-6.8699697,-75.0458515
,Positive,,
Japan,Positive,34.7021912,135.4955866
,Positive,,
,Positive,,
,Positive,,
United States of America,Negative,35.925193,-86.8689365
Spain,Positive,42.226023,-8.6730374
,Negative,,
Canada,Positive,61.0666922,-107.9917071
,Negative,,
,Positive,,
,Positive,,
Romania,Positive,46.9599823,22.0541733
,Positive,,
China,Negative,39.906217,116.3912757
,Positive,,
Nigeria,Positive,6.4550575,3.3941795
United Kingdom,Positive,52.4808348,-1.9142353
,Positive,,
Austria,Negative,47.2000338,13.199959
,Positive,,
,Positive,,
Japan,Positive,35.7000213,139.7416507
,Positive,,
Switzerland,Positive,46.61875335,9.69191015
,Positive,,
,Positive,,
Ireland,Positive,53.3497645,-6.2602732
Japan,Negative,35.8616402,139.6457957
Brazil,Positive,-19.9227318,-43.9450948
Japan,Positive,35.6828387,139.7594549
,Positive,,
,Positive,,
Trinidad and Tobago,Positive,10.8677845,-60.9821067
United States of America,Positive,43.0059455,-123.8925908
Poland,Positive,52.215933,19.134422
Japan,Positive,36.5748441,139.2394179
Nigeria,Positive,4.7676576,7.0188527
Russia,Positive,56.839104,60.60825
Portugal,Positive,40.0332629,-7.8896263
,Positive,,
China,Positive,29.3420008,104.7761594
,Positive,,
,Positive,,
France,Negative,45.4390664,4.3794874
Australia,Positive,-33.8548157,151.2164539
,Positive,,
,Positive,,
Brazil,Positive,-30.0324999,-51.2303767
Indonesia,Positive,-2.4833826,117.8902853
,Negative,,
United States of America,Positive,34.2331373,-102.4107493
Ethiopia,Positive,6.402589949999999,43.398382018489485
Italy,Positive,43.3458388,13.1415872
,Positive,,
France,Positive,-21.1309332,55.5265771
,Negative,,
Germany,Negative,52.5170365,13.3888599
United States of America,Positive,34.0536909,-118.2427666
,Positive,,
,Positive,,
,Negative,,
Japan,Positive,34.6553944,133.9194595
,Positive,,
Brazil,Positive,-10.3333333,-53.2
,Positive,,
,Negative,,
India,Positive,18.521428,73.8544541
,Positive,,
,Negative,,
Argentina,Positive,-34.9964963,-64.9672817
Canada,Negative,43.7283874,-79.34914879325001
,Positive,,
United States of America,Positive,43.0059455,-123.8925908
United States of America,Positive,38.5815719,-121.4943996
,Positive,,
United States of America,Positive,38.5815719,-121.4943996
United States of America,Positive,41.7962409,-71.5992372
United States of America,Positive,42.3602534,-71.0582912
,Positive,,
,Positive,,
,Positive,,
,Positive,,
,Positive,,
United States of America,Positive,40.0757384,-74.4041622
,Positive,,
United States of America,Negative,32.2228765,-110.9748477
United States of America,Positive,33.7490987,-84.3901849
,Positive,,
,Positive,,
,Negative,,
Peru,Positive,-14.9306269,-70.5478631
,Negative,,
Philippines,Negative,14.3631741,121.0116215
,Positive,,
United States,Positive,39.7837304,-100.4458825
United States of America,Positive,40.7080556,-73.9141667
Switzerland,Positive,47.3723941,8.5423328
,Positive,,
,Positive,,
Mexico,Positive,19.4326296,-99.1331785
,Positive,,
,Negative,,
,Positive,,
,Positive,,
,Negative,,
Zimbabwe,Positive,-17.831773,31.045686
,Positive,,
,Positive,,
South Africa,Positive,-33.928992,18.417396
United States of America,Positive,39.362033,-123.752998
United States of America,Positive,40.0149856,-105.2705456
United States of America,Positive,27.9477595,-82.458444
South Africa,Positive,-33.928992,18.417396
,Positive,,
United States of America,Negative,42.3076547,-83.4868961
,Positive,,
,Negative,,
Philippines,Positive,14.3631741,121.0116215
Saudi Arabia,Positive,25.6242618,42.3528328
Côte d'Ivoire,Positive,7.9897371,-5.5679458
,Negative,,
,Positive,,
Canada,Positive,43.6534817,-79.3839347
Japan,Positive,36.5748441,139.2394179
Nigeria,Positive,6.4550575,3.3941795
,Positive,,
United States of America,Positive,43.0059455,-123.8925908
,Positive,,
,Positive,,
,Positive,,
United States of America,Positive,19.6238149,-155.9536379
,Positive,,
United States,Positive,39.7837304,-100.4458825
,Positive,,
Japan,Positive,36.5748441,139.2394179
Germany,Positive,52.5170365,13.3888599
,Negative,,
,Positive,,
United States of America,Positive,48.6848427,-122.9402035
,Positive,,
Japan,Positive,35.774143,139.681209
Brazil,Positive,-8.0641931,-34.8781517
,Positive,,
,Positive,,
Germany,Positive,52.5170365,13.3888599
,Positive,,
,Positive,,
,Positive,,
,Negative,,
,Positive,,
Brazil,Positive,-3.7304512,-38.5217989
Japan,Positive,35.1851045,136.8998438
,Positive,,
United States of America,Positive,38.5815719,-121.4943996
,Positive,,
Japan,Positive,35.6465296,139.6532504
