location,mood,latitude,longitude
,Positive,,
,Negative,,
United Kingdom,Positive,51.5073219,-0.1276474
Thailand,Negative,12.9181511,100.92588136949392
United States,Positive,39.7837304,-100.4458825
United Kingdom,Negative,51.77046785,0.46466977412300386
United States of America,Positive,37.7790262,-122.4199061
India,Positive,28.6517178,77.2219388
,Positive,,
Nigeria,Negative,5.783333,6.1
,Negative,,
,Positive,,
,Positive,,
,Negative,,
,Negative,,
Romania,Positive,46.9599823,22.0541733
Japan,Positive,35.564193,139.442839
France,Negative,48.0577971,-1.5075593
United States of America,Positive,39.9777991,-75.1313835
Brazil,Positive,-10.3333333,-53.2
India,Positive,28.6141793,77.2022662
Germany,Positive,48.1371079,11.5753822
,Negative,,
,Negative,,
,Positive,,
,Negative,,
,Positive,,
United States of America,Positive,40.6501038,-73.9495823
United Kingdom,Positive,56.7861112,-4.1140518
Japan,Positive,35.6828387,139.7594549
United States of America,Positive,33.7500378,-117.8704931
Canada,Positive,43.466874,-80.524635
,Positive,,
Canada,Positive,49.2608724,-123.1139529
United States of America,Positive,40.7498243,-73.7976337
Canada,Positive,44.2063179,-77.3977905
,Negative,,
,Positive,,
Greece,Positive,40.6403167,22.9352716
United States of America,Negative,42.3315509,-83.0466403
,Negative,,
,Positive,,
,Negative,,
United States of America,Positive,40.7127281,-74.0060152
United States of America,Positive,43.6166163,-116.200886
United States of America,Positive,36.7014631,-118.7559974
United States of America,Positive,37.7790262,-122.4199061
,Negative,,
,Positive,,
United States of America,Positive,38.9030285,-76.99990336452451
,Negative,,
Mexico,Positive,32.5010188,-116.9646629
United States of America,Positive,30.2711286,-97.7436995
Canada,Negative,46.8443248,-71.2743272
,Positive,,
,Positive,,
,Negative,,
United States of America,Positive,27.7567667,-81.4639835
Mexico,Negative,19.4326296,-99.1331785
United States of America,Negative,40.7127281,-74.0060152
United States of America,Negative,35.996653,-78.9018053
,Positive,,
,Negative,,
,Positive,,
Brazil,Positive,-22.90556,-47.06083
United Kingdom,Negative,53.4794892,-2.2451148
,Positive,,
,Positive,,
Argentina,Positive,-32.6529485,-70.0118233
Argentina,Positive,-37.9977225,-57.5482703
,Positive,,
India,Negative,22.3511148,78.6677428
United States of America,Positive,40.6501038,-73.9495823
Australia,Positive,-37.8142176,144.9631608
Argentina,Negative,-34.6075682,-58.4370894
,Positive,,
United Kingdom,Positive,55.8537986,-4.2375071
Canada,Positive,45.4972159,-73.6103642
United States of America,Positive,39.100105,-94.5781416
,Negative,,
United States of America,Negative,34.0448039,-118.2652191616943
,Positive,,
Australia,Positive,-24.7761086,134.755
Nepal,Positive,28.1083929,84.0917139
Russia,Positive,53.1178842,46.585980721731445
Japan,Positive,35.6828387,139.7594549
,Positive,,
,Positive,,
The Netherlands,Negative,52.8903252,6.1401858
United States of America,Positive,40.7292688,-73.9873613
,Negative,,
France,Negative,48.117997599999995,-3.2765707581712062
Brazil,Positive,-10.3333333,-53.2
South Korea,Positive,37.5666791,126.9782914
,Negative,,
,Negative,,
Japan,Positive,36.5748441,139.2394179
,Negative,,
Canada,Positive,44.563088,-76.0231949
United States of America,Positive,40.4416941,-79.9900861
,Positive,,
Japan,Positive,35.74836,139.638735
Canada,Positive,44.563088,-76.0231949
Japan,Negative,34.6845445,135.8048359
,Negative,,
,Positive,,
United States of America,Negative,34.2331373,-102.4107493
,Positive,,
,Positive,,
United States of America,Negative,34.2331373,-102.4107493
United States of America,Positive,43.074761,-89.3837613
United Kingdom,Positive,52.4808348,-1.9142353
United States of America,Negative,36.7014631,-118.7559974
Venezuela,Positive,10.2482174,-67.5854305
United Kingdom,Positive,51.295015750000005,1.0673010856199983
,Negative,,
United States of America,Negative,40.7127281,-74.0060152
United Kingdom,Negative,51.5073219,-0.1276474
,Negative,,
,Positive,,
,Positive,,
,Negative,,
,Positive,,
,Positive,,
United Kingdom,Positive,52.628606,1.29227
,Positive,,
United Kingdom,Negative,52.4808348,-1.9142353
Nigeria,Positive,9.6000359,7.9999721
,Negative,,
,Positive,,
,Positive,,
United States of America,Positive,30.2711286,-97.7436995
India,Positive,22.3511148,78.6677428
Canada,Positive,43.6534817,-79.3839347
India,Positive,22.3511148,78.6677428
Honduras,Positive,15.2572432,-86.0755145
Mexico,Positive,19.4326296,-99.1331785
United States of America,Positive,40.7127281,-74.0060152
United Kingdom,Positive,51.5073219,-0.1276474
,Positive,,
Japan,Negative,35.6828387,139.7594549
Taiwan,Negative,23.9739374,120.9820179
Japan,Negative,34.3916058,132.4518156
United States of America,Positive,38.8949855,-77.0365708
,Negative,,
France,Positive,48.8566969,2.3514616
,Positive,,
,Positive,,
,Positive,,
Austria,Positive,48.2083537,16.3725042
United States of America,Positive,38.9848265,-77.0946459
Spain,Positive,41.3828939,2.1774322
,Negative,,
Japan,Positive,35.1968074,136.86483523229543
,Positive,,
Mexico,Positive,19.4326296,-99.1331785
United States of America,Positive,37.7884969,-122.3558473
,Negative,,
,Positive,,
Singapore,Positive,1.24894585,103.83430564159272
Japan,Positive,37.75454,140.4592144
,Positive,,
Russia,Positive,53.1178842,46.585980721731445
Japan,Positive,35.3801626,139.3935991
,Positive,,
,Positive,,
,Negative,,
,Positive,,
,Positive,,
Germany,Negative,51.0834196,10.4234469
India,Negative,28.3622661,75.6042342
,Positive,,
,Negative,,
Canada,Positive,61.0666922,-107.9917071
Italy,Positive,42.6384261,12.674297
,Negative,,
Russia,Positive,53.1178842,46.585980721731445
United States of America,Positive,42.3602534,-71.0582912
United Kingdom,Negative,50.845221249999994,-0.14975850541139246
,Positive,,
United Kingdom,Negative,50.845221249999994,-0.14975850541139246
United States of America,Positive,42.7337712,-84.5553805
United States of America,Positive,34.2331373,-102.4107493
Spain,Positive,39.4697065,-0.3763353
United States of America,Negative,40.0228421,-82.4445991
,Negative,,
United States of America,Negative,34.2331373,-102.4107493
Japan,Negative,36.5748441,139.2394179
United Kingdom,Positive,55.9533456,-3.1883749
Japan,Positive,36.5748441,139.2394179
India,Positive,17.23092405,78.431848261532
Belgium,Positive,50.6402809,4.6667145
,Negative,,
,Positive,,
United States of America,Positive,42.7337712,-84.5553805
France,Negative,44.0918144,6.2351431
,Negative,,
,Negative,,
United States of America,Positive,47.6144219,-122.1923372
,Positive,,
India,Positive,18.521428,73.8544541
Japan,Negative,37.75454,140.4592144
,Positive,,
United States of America,Positive,42.7192043,-84.47791987346605
